,Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in Original language,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
1,ITX HELLAS SINGLE MEMBER S.A.,GR,Grèce,ATHENS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of fashion clothing,Retail,,"Exclusive imports and trade of garments, shoes, accessories, leather goods, perfumes, cosmetics, white linen, decoratives, tableware and small furniture (also via internet)","www.zara.com
www.fashionwear1.gr",31,17,22,459,352,300,YES,NO,NO
2,RANDEVU,RU,Fédération de Russie,MOSCOW,"UL. SKAKOVAYA D. 17, STR. 2, KOM. 2",4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear",Wholesale,?????????? ????? ? ???????????,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear [source: Bureau van Dijk]","www.rendez-vous.ru
www.rest-randevu.ru",15,14,1,306,230,337,YES,NO,NO
3,ZEEMAN TEXTIELSUPERS,FR,France,PARIS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories,Retail,"Négoce au détail ou en gros de vêtements, accessoires, articles destinés à l'habitation.",Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories [source: Bureau van Dijk],www.zeeman.com,4,3,4,164,137,147,YES,NO,NO
4,ANSWEAR.COM S.A.,PL,Pologne,KRAKOW,,4771,Commerce de détail d'habillement en magasin spécialisé,"Digital platform for the sale of branded clothing, footwear and accessories in the CEE region",Wholesale; Retail; Services,,The main activities of the Company are Electronic Shopping and Mail-Order Houses.,www.answear.com,8,5,1,149,90,73,YES,NO,NO
5,REGENT GOLD,RU,Fédération de Russie,"AGALATOVSKOE SELSKOE POSELENIE, D. SKOTNOE","UL. SAVUSHKINA D. 126, LIT. A, POMESHCH. 133-N",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,???????? ?????????? ?????????,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.zolotoy.ru,22,16,5,141,103,117,YES,NO,NO
6,WOLW-POL SP. Z O.O.,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of clothing products,Wholesale,,Engaged in the wholesale distribution of clothing products [source: Bureau van Dijk],www.dieselshop.pl,11,6,1,135,105,99,YES,NO,NO
7,NILSON GROUP AB FILIAL NORGE,NO,Norvège,OSLO,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear,Retail,SKODETALJHANDEL MED DERTIL NATURLIG HØRENDE VIRKSOMHET.,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear [source: Bureau van Dijk],,-2,-20,-6,120,125,191,YES,YES,
8,SAKURA LLC,RU,Fédération de Russie,VELIKII NOVGOROD,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],"xn--23-6kca3cvbes.xn--p1ai
ilovesakura.ru/spb",0,4,5,94,69,131,YES,NO,NO
9,LIMITED LIABILITY COMPANY HUGO BOSS RUS,RU,Fédération de Russie,MOSCOW,"PROEZD 1-I KRASNOGVARDEISKII D. 22, STR. 1, FLOOR/POMESHCH./KOM. 26/A26/7",4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, perfume, and accessories",Retail,"???????? ???????, ??????, ????????????.","Trade with clothes, footwear, accessories.","www.hugoboss.com/ru
www.emg.ru",7,3,6,90,49,66,YES,NO,NO
10,MNG-MANGO U.K. LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the production and retail distribution of clothing and accessories for women and men,Manufacturing; Retail,,Retail of clothes and accessories.,www.shop.mango.com,4,-5,-2,89,65,80,YES,YES,
11,B & B COLLECTION SRL,RO,Roumanie,BUCURESTI SECTORUL 3,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the import and distribution of more than 100 international brands of watches and jewelry,Wholesale,,Engaged in the import and distribution of more than 100 international brands of watches and jewelry [source: Bureau van Dijk],www.bbcollection.ro,11,7,10,88,70,86,YES,NO,NO
12,SEZONNAYA KOLLEKTSIYA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of shoe stores,Retail,???????? ??????,Engaged in the operation of shoe stores [source: Bureau van Dijk],zenden.ru,1,0,-2,78,60,128,YES,NO,YES
