Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in English,Website,"Operating result [=EBIT] mEUR 2021","Operating result [=EBIT] mEUR 2020","Operating result [=EBIT] mEUR 2019","Turnover mEUR 2021","Turnover mEUR 2020","Turnover mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
ITX HELLAS SINGLE MEMBER S.A.,GR,Grèce,ATHENS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of fashion clothing,Retail,"Exclusive imports and trade of garments, shoes, accessories, leather goods, perfumes, cosmetics, white linen, decoratives, tableware and small furniture (also via internet)","www.zara.com",31.0,17.0,22.0,459,352,300,YES,NO,NO
ZEEMAN TEXTIELSUPERS,FR,France,PARIS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories,Retail,Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories [source: Bureau van Dijk],www.zeeman.com,4.0,3.0,4.0,164,137,147,YES,NO,NO
ANSWEAR.COM S.A.,PL,Pologne,KRAKOW,,4771,Commerce de détail d'habillement en magasin spécialisé,"Digital platform for the sale of branded clothing, footwear and accessories in the CEE region",Wholesale; Retail; Services,The main activities of the Company are Electronic Shopping and Mail-Order Houses.,www.answear.com,8.0,5.0,1.0,149,90,73,YES,NO,NO
REGENT GOLD,RU,Fédération de Russie,"AGALATOVSKOE SELSKOE POSELENIE, D. SKOTNOE","UL. SAVUSHKINA D. 126, LIT. A, POMESHCH. 133-N",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.zolotoy.ru,22.0,16.0,5.0,141,103,117,YES,NO,NO
NILSON GROUP AB FILIAL NORGE,NO,Norvège,OSLO,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear,Retail,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear [source: Bureau van Dijk],No Website,-2.0,-20.0,-6.0,120,125,191,YES,YES,
SAKURA LLC,RU,Fédération de Russie,VELIKII NOVGOROD,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,Engaged in the retail sale of footwear [source: Bureau van Dijk],"xn--23-6kca3cvbes.xn--p1ai",0.0,4.0,5.0,94,69,131,YES,NO,NO
LIMITED LIABILITY COMPANY HUGO BOSS RUS,RU,Fédération de Russie,MOSCOW,"PROEZD 1-I KRASNOGVARDEISKII D. 22, STR. 1, FLOOR/POMESHCH./KOM. 26/A26/7",4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, perfume, and accessories",Retail,"Trade with clothes, footwear, accessories.","www.hugoboss.com/ru",7.0,3.0,6.0,90,49,66,YES,NO,NO
MNG-MANGO U.K. LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the production and retail distribution of clothing and accessories for women and men,Manufacturing; Retail,Retail of clothes and accessories.,www.shop.mango.com,4.0,-5.0,-2.0,89,65,80,YES,YES,
SEZONNAYA KOLLEKTSIYA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of shoe stores,Retail,Engaged in the operation of shoe stores [source: Bureau van Dijk],zenden.ru,1.0,0.0,-2.0,78,60,128,YES,NO,YES
GRUPPO PRITELLI S.R.L.,IT,Italie,CATTOLICA,VIA RESPIGHI 54 INT.4,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of clothing stores,Retail,Engaged in the management and operation of clothing stores [source: Bureau van Dijk],"www.gruppopritelli.it",2.0,0.0,1.0,74,67,63,YES,NO,NO
WISE S.R.L.,IT,Italie,CREMONA,CORSO GIUSEPPE MAZZINI 71,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],"www.wiseboutique.com",2.0,1.0,1.0,69,65,70,YES,NO,NO
ARENA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Retail sale of leather goods,Retail,sale of footwear and accessories,"www.noone.ru",6.0,3.0,1.0,64,48,69,YES,NO,NO
"TORRES JOALHEIROS, S.A.",PT,Portugal,LISBOA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry,Retail,Engaged in the retail sale of watches and jewelry [source: Bureau van Dijk],"www.torres.pt",15.0,8.0,12.0,64,46,68,YES,NO,NO
C & A MODE KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],"www.c-and-a.com/hu",2.0,-5.0,3.0,64,52,79,YES,NO,NO
"JOINT STOCK COMPANY STOLESHNIKOV,12 JSC STOLESHNIKOV,12",RU,Fédération de Russie,MOSCOW,"PER. NIZHNII KISELNYI D. 4, ET 5 POM.I KOM 15",4771,Commerce de détail d'habillement en magasin spécialisé,Retail distribution of knitted and crocheted apparel,Retail,Retail distribution of knitted and crocheted apparel [source: Bureau van Dijk],hermes.com,16.0,8.0,7.0,62,37,38,YES,NO,NO
AXEL KAUFMANN APS,DK,Danemark,AARHUS C,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing principally in Denmark,Retail,Engaged in the retail sale of clothing principally in Denmark [source: Bureau van Dijk],www.kaufmann.dk,1.0,0.0,1.0,57,62,70,YES,NO,NO
OCHNIK S.A.,PL,Pologne,GARWOLIN,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and accessories in Poland,Retail,Primarily engaged in the retail sale of clothing and accessories in Poland [source: Bureau van Dijk],www.ochnik.com,9.0,4.0,6.0,58,44,55,YES,NO,NO
ME AND EM LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing,Retail,Design and retail contemporary clothing and accessories.,www.meandem.com,12.0,2.0,0.0,57,26,20,YES,NO,NO
