Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords,Translated Meta Title,Translated Meta Description,Translated Additional Meta Title,Translated Additional Meta Description
ITX HELLAS SINGLE MEMBER S.A.,GR,Grèce,ATHENS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of fashion clothing,Retail,,"Exclusive imports and trade of garments, shoes, accessories, leather goods, perfumes, cosmetics, white linen, decoratives, tableware and small furniture (also via internet)",www.zara.com,31,17,22,459,352,300,YES,NO,NO,www.fashionwear1.gr,,,,IÎ¤Î§ ÎÎÎÎÎ£ MONOÎ Î¡ÎÎ£Î©Î Î Î.Î.,,,,,Îî¤Î§ Î Î Î Î Î Î £ £ Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î Î .Î.,
RANDEVU,RU,Fédération de Russie,MOSCOW,"UL. SKAKOVAYA D. 17, STR. 2, KOM. 2",4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear",Wholesale,?????????? ????? ? ???????????,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear [source: Bureau van Dijk]",www.rendez-vous.ru,15,14,1,306,230,337,YES,NO,NO,www.rest-randevu.ru,Интернет-магазин обуви и одежды в Москве,Интернет-магазин обуви и одежды в Москве. Доставка по РФ 0 руб. Сертификаты качества. Новые коллекции с кешбэком 10% в интернет-магазине Rendez-Vous,,,,,Online store of shoes and clothes in Moscow,Online store of shoes and clothes in Moscow. Delivery in the Russian Federation 0 rub. Quality certificates. New collections with cashback 10% in the Rendez-Vous online store,,
ZEEMAN TEXTIELSUPERS,FR,France,PARIS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories,Retail,"Négoce au détail ou en gros de vêtements, accessoires, articles destinés à l'habitation.",Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories [source: Bureau van Dijk],www.zeeman.com,4,3,4,164,137,147,YES,NO,NO,,Zeeman. Zo eenvoudig kan het zijn.,Goede kwaliteit voor de laagst mogelijke prijs. Door alles eenvoudig te houden. Van kleding tot woontextiel. ✔30 dagen bedenktijd ✔2 werkdagen levertijd,,,,,Sailor. It can be that simple.,Good quality for the lowest possible price. By keeping everything easy. From clothing to residential textiles. ✔30 Days Consideration Time ✔2 Working days Delivery time,,
ANSWEAR.COM S.A.,PL,Pologne,KRAKOW,,4771,Commerce de détail d'habillement en magasin spécialisé,"Digital platform for the sale of branded clothing, footwear and accessories in the CEE region",Wholesale; Retail; Services,,The main activities of the Company are Electronic Shopping and Mail-Order Houses.,www.answear.com,8,5,1,149,90,73,YES,NO,NO,,"Answear.com sklep internetowy z modą damską, męską i dziecięca - wysyłka nawet w 24h.","Masz styl z Answear.com! Odkryj modne ubrania i obuwie damskie, męskie i dziecięce. Tysiące produktów ponad 500 marek. Wysyłka nawet w 24h.",,,,,"Answear.com online store with women's, male and children's fashion - shipping even in 24h.","You have style from Answear.com! Discover fashionable women's, men's and children's clothes and footwear. Thousands of products over 500 brands. Shipping even in 24h.",,
REGENT GOLD,RU,Fédération de Russie,"AGALATOVSKOE SELSKOE POSELENIE, D. SKOTNOE","UL. SAVUSHKINA D. 126, LIT. A, POMESHCH. 133-N",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,???????? ?????????? ?????????,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.zolotoy.ru,22,16,5,141,103,117,YES,NO,NO,,"Женский интернет-журнал ""ЗОЛОТОЙ""","Женский журнал «ЗОЛОТОЙ» – твой верный советчик в том, что касается красоты, моды, стиля, отношений и всего, что может быть тебе интересно.",,,,,"Women's Internet magazine ""Golden""","The Golden Women's Journal is your faithful adviser as regarding beauty, fashion, style, relationship and everything that may be interesting to you.",,
WOLW-POL SP. Z O.O.,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of clothing products,Wholesale,,Engaged in the wholesale distribution of clothing products [source: Bureau van Dijk],www.dieselshop.pl,11,6,1,135,105,99,YES,NO,NO,,,,,,,,,,,
NILSON GROUP AB FILIAL NORGE,NO,Norvège,OSLO,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear,Retail,SKODETALJHANDEL MED DERTIL NATURLIG HØRENDE VIRKSOMHET.,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear [source: Bureau van Dijk],,-2,-20,-6,120,125,191,YES,YES,,,,,,,,,,,,
SAKURA LLC,RU,Fédération de Russie,VELIKII NOVGOROD,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],xn--23-6kca3cvbes.xn--p1ai,0,4,5,94,69,131,YES,NO,NO,ilovesakura.ru/spb,,,,"Доставка роллов, суши и пиццы в Санкт-Петербург. Круглосуточная доставка еды | Сакура — это вкусно!","Сакура — это вкусно! Доставка суши, пиццы, корейской еды, лапши вок в коробочке в Санкт-Петербург круглосуточно 24 часа. Заказать онлайн или по телефону ☎ 8 (812) 458 88 88",,,,"Delivery of rolls, land and pizza to St. Petersburg. Round -the -clock food delivery | Sakura is delicious!","Sakura is delicious! Delivery of land, pizza, Korean food, wok noodles in a box in St. Petersburg 24 hours around the clock. Order online or by phone ☎ 8 (812) 458 88 88"
LIMITED LIABILITY COMPANY HUGO BOSS RUS,RU,Fédération de Russie,MOSCOW,"PROEZD 1-I KRASNOGVARDEISKII D. 22, STR. 1, FLOOR/POMESHCH./KOM. 26/A26/7",4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, perfume, and accessories",Retail,"???????? ???????, ??????, ????????????.","Trade with clothes, footwear, accessories.",www.hugoboss.com/ru,7,3,6,90,49,66,YES,NO,NO,www.emg.ru,404 - Page Not Found,,,Агентство маркетинговых коммуникаций EMG,"EMG - креативное агентство маркетинговых коммуникаций. Свяжитесь с нами уже сегодня, чтобы обсудить ваши задачи и найти оптимальные решения для их реализации.",,404 - Page Not Found,,EMG marketing communications agency,EMG is a creative agency of marketing communications. Contact us today to discuss your tasks and find optimal solutions for their implementation.
MNG-MANGO U.K. LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the production and retail distribution of clothing and accessories for women and men,Manufacturing; Retail,,Retail of clothes and accessories.,www.shop.mango.com,4,-5,-2,89,65,80,YES,YES,,,,,,,,,,,,
